,name,Lat,Lon
113,Orchard Knoll Ln Parking/Charging,40.135863,-83.018985
114,Sam's Club,40.059848,-82.912109
115,Jaguar Easton,40.057271,-82.916616
116,Hubbard Parking Garage,39.979404,-83.002569
117,River and Rich Apartments,39.955818,-83.011487
118,Capital University - Alumni House (Coming Soon),39.955039,-82.935543
119,Dorrian Green Parking Garage,39.960881,-83.008464
120,Edgehill Apartments,39.986096,-83.02976
121,Riverside Methodist (Red) Parking Garage,40.03046,-83.036475
122,Columbus Zoo,40.157178,-83.11522
123,John Glenn Columbus International Airport,39.998155,-82.886754
124,Hilliard Rome Office Park,39.992981,-83.153465
125,TownePlace Suites,40.036384,-83.128859
126,The Pointe Garage,40.147203,-82.973809
127,Philip Heit Center for Healthy New Albany (Coming Soon),40.081982,-82.813048
128,Hilton Columbus Downtown,39.970609,-83.002614
129,Chestnut St. garage  ,39.968244,-83.000097
130,Swasey Chapel,40.071304,-82.521111
131,E Fulton St Parking/Charging,39.954098,-82.993989
132,The View at Polaris,40.136869,-83.001252
133,Grandview Public Garage G6,39.979399,-83.024991
134,Park Tower,40.059223,-82.403992
135,Edge Innovations ,39.991087,-82.843752
136,Lifestyle Communities (South Charger),40.035827,-83.134836
137,Lifestyle Communities (North Charger),40.03732,-83.13233
138,"Union Rural Electric Cooperative, Inc.",40.240525,-83.338358
139,Four Points by Sheraton Columbus Ohio Airport,40.003249,-82.927424
140,Goodale Park,39.973748,-83.006358
141,Joseph Garage - Russell Street,39.975314,-83.004096
142,Bobcat Garage,39.979975,-83.028229
143,Four Points by Sheraton Columbus,40.141179,-82.967623
144,Offices at Polaris,40.138846,-82.96888
145,Dublin Methodist Hospital (Public Charger),40.100251,-83.166588
146,Mid-Ohio Regional Planning Commission,39.950679,-83.002368
147,Grange Insurance,39.948642,-83.000807
148,Safelite AutoGlass,40.108589,-83.080405
149,Farmer's Insurance,40.108458,-83.082948
150,Residence Inn by Marriott Columbus Downtown,39.964096,-82.999809
151,Nationwide Children's Hospital,39.952785,-82.991972
152,Holiday Inn Columbus Downtown - Capitol Square,39.958794,-82.995137
153,Hilton Columbus at Easton,40.049761,-82.912129
154,Alliance Data Card Services 3095,40.036163,-82.91259
155,Springhill Suites Columbus Easton,40.05848,-82.907182
156,Broadway Station Apartments,39.882431,-83.095224
157,Easton Garage - Macy's,40.053885,-82.912979
158,Alliance Data Card Services 3085,40.035076,-82.914645
159,Easton Town Center - East Garage,40.050845,-82.91422
160,Easton Town Center - West Garage,40.050916,-82.916383
161,Residence Inn/Marriott Columbus University Area,40.023702,-83.024889
162,Capital Plaza Garage,39.961735,-82.994652
163,Neil Garage,39.9673,-83.009017
164,McConnell Garage,39.968941,-83.008158
165,Lincoln Pointe,40.114077,-83.013995
166,Marconi Garage,39.967498,-83.006703
167,Bexley Bed and Breakfast ,39.958296,-82.938421
168,Bexley City Hall,39.958023,-82.940183
169,Alliance Data Card Services 3075,40.036257,-82.916485
170,Ohio Dominican University Gold Lot West,39.994278,-82.943833
171,Marconi and Long Parking Lot,39.965283,-83.004396
172,Byers Imports - Porsche,39.985062,-82.870407
173,Licking Memorial Hospital,40.047482,-82.451615
174,Columbus Commons Main Parking Garage,39.95681,-82.997917
175,Huntington National Bank,40.097155,-83.090313
176,Midwestern Auto Group BMW,40.099917,-83.147769
177,Ricart Guest ,39.890213,-82.888794
178,Bing Cancer Center (Purple) Parking Garage,40.033086,-83.032611
179,OhioHealth Riverside Hospital - Green Garage,40.031734,-83.032425
180,Best Western Executive Inn,39.879803,-83.045052
181,Bridge Park - Hotel Garage,40.100658,-83.108545
182,Mooney Garage,40.101595,-83.109307
183,Bridge Park - Longshore Garage,40.102734,-83.109376
184,MAG Volvo,40.099817,-83.150571
185,Fenlon Garage,40.051841,-82.91382
186,Gay St Parking/Charging,39.963545,-83.002184
187,Audi of Columbus,39.983484,-82.870522
188,Byers Volvo ,39.98277,-82.871125
189,Ricart Ford,39.889052,-82.887984
190,Sunbury Pointe Apartments (Club House),40.24635,-82.870811
191,Sunbury Pointe Apartments,40.245975,-82.871598
192,Huntington Center,39.961223,-83.001464
193,Huntington Plaza Parking Garage,39.96138,-83.002059
194,Ricart Kia Mitsubishi,39.891571,-82.888602
195,Goodale Parking Garage,39.974476,-83.001121
196,MAG Audi ,40.099808,-83.149485
197,MAG Porsche,40.099804,-83.149807
