,Lat,Lon,cluster_labels
345,40.099992799999995,-83.166,-1
346,40.1486523,-82.90396199999999,0
347,40.1002881,-83.1660378,-1
348,40.148661700000005,-82.90396319999999,0
349,40.10018170000001,-83.1667072,-1
350,40.1486592,-82.9039586,0
351,40.0583736,-82.91533869999999,-1
352,39.922737299999994,-82.8358896,-1
353,40.1486407,-82.903976,0
354,40.12768320000001,-82.9316798,-1
355,40.1486727,-82.90397109999999,0
356,40.1486408,-82.90393759999999,0
357,40.148613299999994,-82.9040301,0
358,40.1486439,-82.9041892,0
359,40.140119899999995,-82.9821006,-1
360,40.14864179999999,-82.90398559999998,0
361,40.1486473,-82.9039476,0
362,40.1003648,-83.1665571,-1
363,40.1486657,-82.9039672,0
364,40.1000899,-83.1666052,-1
365,40.1463472,-82.9157718,-1
366,40.1480972,-82.9771434,-1
367,40.148653499999995,-82.9039679,0
368,40.1488333,-82.9791209,-1
369,40.1500133,-82.9765624,1
370,40.1486541,-82.9039773,0
371,40.1005119,-83.1662172,-1
372,40.1490185,-82.9207207,-1
373,40.1486604,-82.9039713,0
374,40.1273579,-82.9318623,-1
375,40.1486517,-82.9039827,0
464,40.0866236,-82.83320259999999,-1
465,40.0865521,-82.83316140000001,-1
474,40.088908,-82.82434029999999,-1
475,40.0866115,-82.8331599,-1
476,40.0865716,-82.833086,-1
584,40.1579529,-83.2342635,-1
585,39.9587266,-82.9849827,-1
586,40.1815783,-83.1934407,-1
587,40.146547999999996,-83.1812003,-1
588,40.181588899999994,-83.19344090000001,-1
589,39.9587283,-82.984989,-1
590,39.949303,-83.00132640000001,45
591,39.9587386,-82.98495159999999,-1
592,40.1530616,-83.1314343,-1
593,40.1816141,-83.1934328,-1
594,39.958737799999994,-82.9849881,-1
595,40.1815953,-83.1934433,-1
596,40.1465081,-83.18126550000001,-1
597,40.181582299999995,-83.19344840000001,-1
598,39.9587225,-82.9849818,-1
599,40.1059046,-83.1647809,-1
600,40.12258920000001,-83.17782290000001,-1
683,39.984456,-83.051562,-1
748,40.173697499999996,-83.0663026,-1
835,39.9675742,-83.0093446,4
836,40.126813399999996,-83.1237468,-1
837,40.0863793,-83.09022519999999,-1
838,40.098324299999994,-83.12244659999999,2
839,40.1238747,-83.12531159999999,-1
840,39.9730032,-83.00327270000001,-1
841,39.9878251,-83.0312762,-1
842,39.9674843,-83.0096187,4
843,40.1268233,-83.12373829999999,-1
844,40.1009465,-83.1289811,-1
845,40.1034786,-83.1096194,3
846,39.9672255,-83.009055,4
847,40.1268472,-83.1237426,-1
848,39.9671972,-83.0093608,4
849,40.1267955,-83.12373840000001,-1
850,39.967583700000006,-83.0093313,4
851,40.1268209,-83.1237432,-1
852,40.02055670000001,-83.0580088,5
853,39.9676994,-83.00931990000001,4
869,39.9277631,-83.1633568,-1
870,39.9277589,-83.1633584,-1
1511,39.8763006,-83.04237540000001,-1
1516,40.1487468,-82.9758395,1
1517,40.1450029,-82.97892490000001,-1
1521,40.0868364,-82.953218,-1
1522,40.053341100000004,-83.0681328,55
1523,40.0932323,-83.08936109999999,-1
1524,40.1104396,-83.1888381,6
1531,40.1092899,-83.1881707,6
1537,39.957021600000004,-82.9986791,7
1538,40.0908738,-83.0166777,8
1660,39.9993421,-82.8533818,-1
1661,40.0529481,-82.87725,-1
1662,40.0608554,-82.8617684,-1
1663,40.052948,-82.8772473,-1
1664,39.999355,-82.853432,-1
1665,40.0529225,-82.8772122,-1
1666,39.9993439,-82.8534778,-1
1667,40.052868100000005,-82.877328,-1
1668,39.9993557,-82.8535033,-1
1669,40.0529407,-82.877239,-1
1807,40.1194943,-83.01111309999999,-1
